league,position,mean_index,median_index,std_index,min_index,max_index,n_players,cv,high_spread,level
epl,DEF,0.917,0.8,0.483,0.333,2.333,33,0.527,True,broad
epl,FWD,1.283,1.0,0.789,0.467,3.5,22,0.615,True,broad
epl,GK,0.976,0.944,0.345,0.469,1.667,8,0.353,True,broad
epl,MID,1.425,1.154,0.602,0.533,2.917,25,0.423,True,broad
laliga,DEF,0.914,0.818,0.416,0.286,2.471,32,0.455,True,broad
laliga,FWD,1.721,1.552,0.979,0.45,4.286,24,0.569,True,broad
laliga,GK,1.563,1.207,1.028,0.667,3.75,8,0.658,True,broad
laliga,MID,1.126,1.071,0.473,0.214,2.091,24,0.42,True,broad
